Quiz Total: 98 		 Sum: 781.18 	 Average: 7.97 
Prolog Total: 87 	 Sum: 660.88 	 Average: 7.60 
Scheme Total: 86 	 Sum: 737.60 	 Average: 8.58 
Smalltalk Total: 98 	 Sum: 555.20 	 Average: 5.67 
Midterm Total: 98 	 Sum: 727.40 	 Average: 7.42 
Final Total: 98 	 Sum: 1207.80 	 Average: 12.32 
1 	 2015400027 	 92.05 
2 	 2015400228 	 89.80 
3 	 2015400213 	 87.32 
4 	 2014400168 	 84.57 
5 	 2014400006 	 83.89 
6 	 2014400096 	 83.07 
7 	 2015400120 	 82.69 
8 	 2013400057 	 81.87 
9 	 2014400219 	 80.69 
10 	 2013400105 	 80.19 
11 	 2014400009 	 80.10 
12 	 2014400123 	 79.65 
13 	 2015400099 	 77.42 
14 	 2015400195 	 76.42 
15 	 2016400249 	 75.54 
16 	 2014400072 	 75.31 
17 	 2015400087 	 73.99 
18 	 2014400036 	 73.71 
19 	 2016400270 	 71.89 
20 	 2014400081 	 71.59 
21 	 2014400207 	 71.34 
22 	 2014400189 	 71.16 
23 	 2014400057 	 70.66 
24 	 2014400183 	 70.59 
25 	 2015400246 	 70.36 
26 	 2014400129 	 69.91 
27 	 2014400105 	 69.86 
28 	 2011104090 	 69.07 
29 	 2014400102 	 68.21 
30 	 2014400171 	 64.91 
31 	 2013400033 	 64.89 
32 	 2014400078 	 62.46 
33 	 2014400165 	 62.18 
34 	 2014400066 	 61.51 
35 	 2016742000 	 59.51 
36 	 2014400156 	 59.42 
37 	 2015400243 	 58.54 
38 	 2015400174 	 58.44 
39 	 2012402015 	 57.81 
40 	 2014400111 	 57.28 
41 	 2014400198 	 56.85 
42 	 2016400372 	 56.36 
43 	 2014400000 	 56.09 
44 	 2013400117 	 55.18 
45 	 2014400150 	 55.16 
46 	 2014400108 	 54.59 
47 	 2015400252 	 54.37 
48 	 2013400084 	 54.16 
49 	 2014400138 	 53.68 
50 	 2014400075 	 53.26 
51 	 2014400201 	 51.35 
52 	 2015400231 	 48.26 
53 	 2014400144 	 47.96 
54 	 2014400258 	 46.96 
55 	 2014400162 	 46.61 
56 	 2014400186 	 46.04 
57 	 2013400015 	 45.51 
58 	 2012400015 	 45.36 
59 	 2012400045 	 45.11 
60 	 2013400183 	 44.26 
61 	 2012400198 	 44.26 
62 	 2014400024 	 43.53 
63 	 2014400135 	 42.34 
64 	 2014400063 	 41.91 
65 	 2013400042 	 40.88 
66 	 2014400015 	 40.66 
67 	 2014400084 	 39.70 
68 	 2013400006 	 38.91 
69 	 2008400186 	 37.54 
70 	 2010400048 	 35.38 
71 	 2009400087 	 33.95 
72 	 2013400063 	 31.98 
73 	 2013400210 	 30.00 
74 	 2012400054 	 27.43 
75 	 2013400078 	 26.46 
76 	 2015400267 	 24.13 
77 	 2014400153 	 23.16 
78 	 2012400129 	 22.15 
79 	 2008400120 	 21.18 
80 	 2016400288 	 18.63 
81 	 2015400210 	 18.28 
82 	 2009400165 	 13.24 
83 	 2010400168 	 11.53 
84 	 2009400102 	 9.21 
85 	 2009400015 	 8.18 
86 	 2013400195 	 7.90 
87 	 2014400117 	 7.75 
88 	 2014400069 	 5.73 
89 	 2011400378 	 4.71 
90 	 2004100121 	 1.18 
91 	 2014400147 	 1.18 
92 	 2005200133 	 0.00 
93 	 2006200149 	 0.00 
94 	 2007000010 	 0.00 
95 	 2007100367 	 0.00 
96 	 2007102944 	 0.00 
97 	 2011400366 	 0.00 
98 	 2015400222 	 0.00 
Total: 98 	 Sum: 4670.05 	 Average: 47.65 

